ACRONYM,AGENCYNAME,DATASETNAME,DATAOWNER,DATASETCATEGORYNAME,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETTYPENAME,EARLIESTDATEOFRECORDS,EDI_ID,PUBLICINTERESTNAME,KEYWORDS,UPDATEINTERVALNAME,OPENDATA_PORTAL
DOEE,District Department of Energy and Environment,Green Zone Applicants 2015,Green Zone Environmental Program,Environment,Level 3,Data contains personally identifiable information (PII).,Database,00:00.0,2813,Unknown,"environment, applicant, summer, job, youth, young, 2015, green zone",Real-Time/Near Real-Time,False
DOEE,District Department of Energy and Environment,Air Quality Complaints,Air Quality Division,Environment,Level 3,Data contains investigatory records for enforcement purposes and Personally Identifiable Information (PII) from submissions.,Database,00:00.0,1861,Unknown,"environment, air, quality, complaint",Real-Time/Near Real-Time,False
DOEE,District Department of Energy and Environment,Energy Program Application,Energy Efficiency and Affordability Division,Environment,Level 3,Data falls under one or more DC Official Code § 2-534 FOIA exemptions including investigatory records for the purposes of enforcement and personally identifiable information (PII).,Database,00:00.0,1865,Unknown,"environment, energy, weatherization, audit, inspection",Real-Time/Near Real-Time,False
DOEE,District Department of Energy and Environment,Lead Cases & Child and Family Services Agency,Lead-Safe and Healthy Homes Division,Environment,Level 3,Data falls under one or more DC Official Code § 2-534 FOIA exemptions including investigatory records for the purposes of enforcement and contains personally identifiable information.,Database,00:00.0,1811,Unknown,"environment, lead, investigation, child, health",Real-Time/Near Real-Time,False
DOEE,District Department of Energy and Environment,Green Zone Beautification 2017,Green Zone Environmental Program,Environment,Level 3,Data contains personally identifiable information (PII).,Database,00:00.0,1814,Unknown,"environment, beautification",Real-Time/Near Real-Time,False
DOEE,District Department of Energy and Environment,RiverSmart Innovation Grant Email List Sign-Ups,Office of Community Relations,Environment,Level 3,Data contains Personally Identifiable Information (PII). Individual applications can see their data after authentication.,Database,00:00.0,1816,Unknown,"environment, RiverSmart, innovation, grant",Real-Time/Near Real-Time,False
DOEE,District Department of Energy and Environment,Prior Weatherization Applicants,Energy Affordability and Efficiency Division,Environment,Level 3,Data contains Personally Identifiable Information (PII),Database,00:00.0,2364,Unknown,"environment, energy, weatherization, applicant",Real-Time/Near Real-Time,False
DDOT,District Department of Transportation,Inspector daily reports (IDR),DDOT,Transportation,Level 3,The information contained in this dataset is protected from public disclosure under D.C. Code § 2-534(a)(1) - Trade Secret.,Database,,2017,No Requests,"transportation, aashto, construction, contract, bidding",Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,NP DCPS Records Management V4 (NP Tracker 3),DCPS - Specialized Instruction,Education,Level 3,Contains student-level information subject to Family Educational Rights and Privacy Act (FERPA).,Database,,1878,Unknown,"Education, schools",Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Office of Specialized Instruction (OSI) Reading Intervention Tracking Data,DCPS - Specialized Instruction,Education,Level 3,Contains student information subject to Family Educational Rights and Privacy Act (FERPA).,Database,,1879,Unknown,"Education, schools",Quarterly,False
DCPS,District of Columbia Public Schools,Meal Transactions and Eligibility Data (Websmartt),DCPS - School Operations,Financial,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Other,,1880,Frequent Requests,"Education, schools",Daily,False
DCPS,District of Columbia Public Schools,Zearn Data,DCPS - Curricular Innovation,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Other,,1881,Unknown,"Education, schools",Unknown,False
DCPS,District of Columbia Public Schools,Summit Basecamp Data,DCPS - Curricular Innovation,Education,Level 3,Data contains student work product that could be classified as education records covered under  Family Educational Rights and Privacy Act (FERPA).,Other,,1885,Unknown,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,HeadStart Enterprise Data,DCPS - Federal Programs and Grants,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1886,Occasional Requests,"Education, Schools",Monthly,False
DCPS,District of Columbia Public Schools,Payment Net,DCPS - Federal Programs and Grants,Financial,Level 3,Payment Card Information (PCI) ,Unknown,,1888,Frequent Requests,payment,Monthly,False
DCPS,District of Columbia Public Schools,Bullying Incidents,DCPS - School Culture,Education,Level 3,Student Discipline Information is included which identifies both aggressor and victim. Confidential based on Family Educational Rights and Privacy Act (FERPA) guidelines.,Database,,1892,No Info,"Education, Schools",Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Student Athlete Participation Numbers,DCPS - Athletics,Administrative and Other Boundaries,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1893,Unknown,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,Enrollment Reporting Tool,DCPS - Strategic School Planning and Enrollment,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1895,Unknown,"Education, Schools",Static,False
DCPS,District of Columbia Public Schools,Learning Together to Advance our Practice (LEAP) Hub Data,DCPS - LEAP,Administrative and Other Boundaries,Level 3,Sensitive but unclassified. This dataset contains information that is protected from disclosure under the Family Educational Rights and Privacy Act (FERPA).,Database,,1896,Occasional Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Student Behavior Tracker (SBT) Data,DCPS - School Culture,Administrative and Other Boundaries,Level 3,"Family Educational Rights and Privacy Act (FERPA) protected information is contained in this dataset, so it is confidential.",Unknown,,1897,Unknown,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,Student Information System (SIS) Data,DCPS - Information Officer,Education,Level 3,The dataset contains personally identifiable student data that is protected from public disclosure by the Family Educational Rights and Privacy Act (FERPA).,Database,,1900,Frequent Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Adjusted Cohort Graduation Rate (ACGR) Cohort Data,DCPS - School Performance & Continuous Improvement,Education,Level 3,Contains personally identifiable information (PII) of students and parents that is protected from public disclosure by the Family Educational Rights and Privacy Act (FERPA).,Database,,1901,No Info,"Education, Schools",Weekly,False
DCPS,District of Columbia Public Schools,Medicaid - School Based Heath Data,DCPS - Federal Programs and Grants,Education,Level 3,This dataset contains students' Personally Identifiable Information (PII)  and is protected from disclosure under Family Educational Rights and Privacy Act (FERPA). This dataset also contains Personally Identifiable Information (PII) of DCPS staff.,Other,,1902,Unknown,"Medicaid, Health Services, Education",Weekly,False
DCPS,District of Columbia Public Schools,LRE Review Referral Tracking,DCPS - Specialized Instruction,Administrative and Other Boundaries,Level 3,Contains student information subject to Family Educational Rights and Privacy Act (FERPA).,Spreadsheet,,1903,Occasional Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Vetting/Re-Vetting Applications,DCPS - School Partnerships,Administrative and Other Boundaries,Level 3,Contains information that is subject to deliberative process privilege and is legally privileged. The information is also exempt from disclosure under DC Code 2-534(a)(4).,Database,,1904,Occasional Requests,"Education, Schools",Weekly,False
DCPS,District of Columbia Public Schools,DCPS PSS Childfind,DCPS - Specialized Instruction,Education,Level 3,Contains student Personally Identifiable Information (PII).,Database,,1905,No Requests,"Education, Schools",Weekly,False
DCPS,District of Columbia Public Schools,DCPS - Athletics Extra-Duty Payments,DCPS - Athletics,Education,Level 3,Contains Personally Identifiable Information (PII) employee information; data shared with OCFO in order to process payments and is exempt from public disclosure under DC Code 2-534(a)(4).,Database,,1906,No Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,DCPS Schools Athletic Tracking Data,DCPS - Athletics,Education,Level 3,"Contains students' Personally Identifiable Information (PII), which includes home address and academic information including  grade point average, special education status, and course grades, which is also protected under the Family Educational Rights and Privacy Act (FERPA).",Database,,1907,Occasional Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Pathways Monthly Report,DCPS - Pathways,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1913,No Info,Education,Monthly,False
DCPS,District of Columbia Public Schools,Edgenuity Data,DCPS - Curricular Innovation,Education,Level 3,Contains student directory information that is Personally Identifiable Information (PII) and also covered under Family Educational Rights and Privacy Act (FERPA).,Other,,1916,No Info,Education,Unknown,False
DCPS,District of Columbia Public Schools,Career and Technical Education (CTE) Student Roster,DCPS - College and Career,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1918,Occasional Requests,Education,Yearly,False
DCPS,District of Columbia Public Schools,Student Eligibility,DCPS - Federal Programs and Grants,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1919,Frequent Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Family Engagement Partnership Stipend Payments,DCPS - Family Engagement,Financial,Level 3,Contains staff Personally Identifiable Information (PII)  and would require subjective redaction prior to release.,Database,,1920,No Requests,Education,Quarterly,False
DCPS,District of Columbia Public Schools,Purchase Card Data (P-Card),DCPS - Federal Programs and Grants,Education,Level 3,Payment Card Information (PCI) ,Database,,1921,Frequent Requests,"pcard, purchases",Monthly,False
DCPS,District of Columbia Public Schools,Fingerprinting,DCPS - Federal Programs and Grants,Education,Level 3,Law Enforcement Sensitive ,Database,,1922,Frequent Requests,fingerprinting,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,First in Math,DCPS - Curricular Innovation,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Other,,1923,No Info,Education,Unknown,False
DCPS,District of Columbia Public Schools,Case Spreadsheets,DCPS - Office of the General Counsel,Administrative and Other Boundaries,Level 3,Attorney-Client Privileged information,Database,,1925,Unknown,"case, Labor",Weekly,False
DCPS,District of Columbia Public Schools,DC Corrective Action Tracker (DC CATS),DCPS - Compliance and Policy,Education,Level 3,"The dataset contains student Personally Identifiable Information (PII), that could be used to identify student disability, discipline incidents, health information, and/or court documentation.",Database,,1926,No Info,Education,Unknown,False
DCPS,District of Columbia Public Schools,Free and Reduced Meals (FARM) and Enrollment Data,DCPS - Federal Programs and Grants,Education,Level 3,Contains student directory and enrollment information subject to Family Educational Rights and Privacy Act (FERPA).,Database,,1927,Frequent Requests,Education,Yearly,False
DCPS,District of Columbia Public Schools,Scholastic Aptitude Test (SAT) Prep Roster,DCPS - College and Career,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1928,No Info,Education,Unknown,False
DCPS,District of Columbia Public Schools,Reading Recovery Data,DCPS - 1st Grade Academy,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Unknown,,1929,Occasional Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Parent Database,DCPS - Federal Programs and Grants,Education,Level 3,"Contains student and parent Personally Identifiable Information (PII), used by DCPS for internal purposes.",Spreadsheet,,1930,Occasional Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Career and Technical Education (CTE) and NAF Educator Roster,DCPS - College and Career,Administrative and Other Boundaries,Level 3,"""Contains teacher Personally Identifiable Information (PII).",Spreadsheet,,1931,Frequent Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Home/Hospital Instruction Program Data,DCPS - Specialized Instruction,Education,Level 3,"""Contains student information, including medical information subject to Family Educational Rights and Privacy Act (FERPA), ",Database,,1937,Unknown,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,DSI Location Review Referral Data,DCPS - Specialized Instruction,Education,Level 3,Contains student-level information subject to Family Educational Rights and Privacy Act (FERPA).,Spreadsheet,,1938,Frequent Requests,Education,Daily,False
DCPS,District of Columbia Public Schools,FOIA Weekly Chart,DCPS - Office of the General Counsel,Administrative and Other Boundaries,Level 3,Contains some sensitive information that reveals agency's deliberative process. This data is protected under FOIA exemption 2-534(a)(4) - deliberative process privilege.,Database,,1941,Unknown,,Daily,False
DCPS,District of Columbia Public Schools,DCPS Employment Clearance applications,DCPS - Employee Services,Administrative and Other Boundaries,Level 3,"Includes information about employee criminal offenses, if any, as well as Personally Identifiable Information (PII) and law-enforcement sensitive information i.e.: fingerprint records.",Database,,1943,Occasional Requests,Education,Weekly,False
DCPS,District of Columbia Public Schools,Subpoena Log,DCPS - Office of the General Counsel,Education,Level 3,Contains student level Personally Identifiable Information (PII).,Database,,1944,Unknown,Education,Unknown,False
DCPS,District of Columbia Public Schools,Extended School Year Special Ed Summer Program Data,DCPS - Specialized Instruction,Education,Level 3,"""Contains student-level information subject to Family Educational Rights and Privacy Act (FERPA).",Database,,1945,Unknown,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,My School Bucks Data,DCPS - School Operations,Financial,Level 3,Contains student and parent Personally Identifiable Information (PII)  including personal financial information.,Unknown,,1946,Occasional Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,National Academy Foundation (NAF) Academy Directors Reports,DCPS - College and Career,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1947,Frequent Requests,Education,Monthly,False
DCPS,District of Columbia Public Schools,NAF Student Data Report,DCPS - College and Career,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,1948,Occasional Requests,Education,Weekly,False
DCPS,District of Columbia Public Schools,ASPEN Data; Self entered College & Career Applications,DCPS - College and Career,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Other,,1949,Frequent Requests,,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,"ACGR, Attendance, GPA (per term), Student demographics, Health information",DCPS - School Culture,Communication,Level 3,Family Educational Rights and Privacy Act (FERPA) protected data.,Database,,1950,Frequent Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Special Education Service Delivery and Assessments,DCPS - School Culture,Education,Level 3,Family Educational Rights and Privacy Act (FERPA) and Individuals with Disabilities Education Act (IDEA) protected data,Other,,1951,No Info,Education,Unknown,False
DCPS,District of Columbia Public Schools,Labor Management and Employee Relations (LMER),DCPS - Labor Management and Employee Relations,Administrative and Other Boundaries,Level 3,Contains Personally Identifiable Information (PII) including Social Security Numbers and Student IDs. Also contains personnel information including disciplinary measures.,Database,,1952,Occasional Requests,Education,Daily,False
DCPS,District of Columbia Public Schools,SY17-18 Department Chair Application,DCPS - Chief of Staff,Education,Level 3,Sensitive but unclassified. Contains staff Personally Identifiable Information (PII),Database,,2033,Frequent Requests,"principals, education",Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Hiring Tracker Data,DCPS - Early Childhood Education,Administrative and Other Boundaries,Level 3,Sensitive but unclassified - data reflects agency internal deliberations. Exempt from disclosure under D.C. Code § 2-534(a)(4).,Spreadsheet,,2035,No Info,,Unknown,False
DCPS,District of Columbia Public Schools,Employee Investigations Log,DCPS - Office of the General Counsel,Administrative and Other Boundaries,Level 3,Contains attorney-client privileged information.  Contains employee Personally Identifiable Information (PII) information.,Database,,2037,Unknown,Education,Daily,False
DCPS,District of Columbia Public Schools,Title I Early Childhood Education (ECE) Teacher Collaborative Course Module Scores,DCPS - Early Childhood Education,Education,Level 3,Contains Personally Identifiable Information (PII). Also includes performance data for teachers and assistant teachers.,Database,,2038,No Requests,Education,Monthly,False
DCPS,District of Columbia Public Schools,"Talent Selection, Hiring and Onboarding (TSHO)  Educational Aide Application Status",DCPS - Talent Acquisition & Retention,Education,Level 3,Contains sensitive Personally Identifiable Information (PII) regarding employee/applicants. Some data may be subject to deliberative process exemption.,Database,,2039,Unknown,,Unknown,False
DCPS,District of Columbia Public Schools,"Line Item Budget, TMS",DCPS - Early Childhood Education,Administrative and Other Boundaries,Level 3,"Contains staff Personally Identifiable Information (PII), data likely shared with OCFO and DCHR. FOIA exemption D.C. Code § 2-534(a)(4).",Database,,2040,No Info,,Unknown,False
DCPS,District of Columbia Public Schools,DSI School Performance Rubric,DCPS - Specialized Instruction,Education,Level 3,Contains student-level information subject to the Family Educational Rights and Privacy Act (FERPA).,Database,,2041,Frequent Requests,,Monthly,False
DCPS,District of Columbia Public Schools,"Talent Selection, Hiring and Onboarding (TSHO) Application Status",DCPS - Talent Acquisition & Retention,Education,Level 3,Sensitive Personally Identifiable Information (PII) personnel data regarding applicants and employees. May contain data that is subject to deliberative process privilege that is exempt under D.C. Code § 2-534(a)(4).,Database,,2042,Occasional Requests,,Daily,False
DCPS,District of Columbia Public Schools,Social Studies Assessment of Growth and Excellence (SAGE) Data,DCPS - Content and Curriculum,Education,Level 3,Could be shared but would require subjective redaction,Other,,2043,No Info,"social studies, assessment data",Unknown,False
DCPS,District of Columbia Public Schools,Office of Specialized Instruction (OSI) Professional Development Data,DCPS - Specialized Instruction,Education,Level 3,"Contains staff information- Personally Identifiable Information (PII) and survey responses, sensitive but unclassified. Exempt under D.C. Code § 2-534(a)(4).",Database,,2044,Unknown,,Static,False
DCPS,District of Columbia Public Schools,OSTP Billing Information,DCPS - Content and Curriculum,Administrative and Other Boundaries,Level 3,Contains personally identifiable student and parent data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2045,No Requests,Education,Daily,False
DCPS,District of Columbia Public Schools,Candidate Hire,DCPS - Federal Programs and Grants,Administrative and Other Boundaries,Level 3,"Contains employee/applicant Personally Identifiable Information (PII) , some data may be subject to deliberative process, D.C. Code § 2-534(a)(4).",Database,,2047,Occasional Requests,,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Child Outcome Summary,DCPS - Early Childhood Education,Education,Level 3,Contains Family Educational Rights and Privacy Act (FERPA) protected data.,Database,,2048,No Requests,"children, education, outcomes",Quarterly,False
DCPS,District of Columbia Public Schools,Free and Reduced Meal (FARM) Status,DCPS - School Operations,Education,Level 3,Data likely shared with OSSE and Federal Government.  Contains student and parent and Personally Identifiable Information (PII).,Database,,2049,Unknown,Education,Daily,False
DCPS,District of Columbia Public Schools,College and Career Coordinator Data,DCPS - College and Career,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2050,Frequent Requests,Education,Weekly,False
DCPS,District of Columbia Public Schools,School Health Requirements Interagency Committee (SHRIC) Data Set,DCPS - School Culture,Health and Human Services,Level 3,Contains Family Educational Rights and Privacy Act (FERPA) and protected health information (PHI)/Health Insurance Portability and Accountability Act (HIPAA) protected data regarding health information and insurance status. Should remain confidential.,Database,,2051,Occasional Requests,Education,Quarterly,False
DCPS,District of Columbia Public Schools,Single Audit,DCPS - Federal Programs and Grants,Administrative and Other Boundaries,Level 3,Sensitive but unclassified.,Database,,2052,Occasional Requests,audit,Quarterly,False
DCPS,District of Columbia Public Schools,Individuals with Disabilities Education Act (IDEA) Complaints,DCPS - Office of the General Counsel,Administrative and Other Boundaries,Level 3,Contains Personally Identifiable Information (PII) student information and attorney-client work product.,Other,,2053,Unknown,Education,Daily,False
DCPS,District of Columbia Public Schools,Risk Management,DCPS - Office of the General Counsel,Financial,Level 3,Confidential settlement information. Sensitive but unclassified. Legally privileged,Database,,2054,Unknown,Education,Weekly,False
DCPS,District of Columbia Public Schools,DCPS Labor and Employment Database,DCPS - Office of the General Counsel,Administrative and Other Boundaries,Level 3,Attorney-client privileged information,Database,,2055,Unknown,Education,Daily,False
DCPS,District of Columbia Public Schools,Early Childhood Education (ECE) Teacher/ Assistant Teacher Educational Qualifications,DCPS - Early Childhood Education,Education,Level 3,Teacher qualification information and scores. Contains Personally Identifiable Information (PII).,Database,,2056,No Requests,Education,Quarterly,False
DCPS,District of Columbia Public Schools,DCPS OGC Case Management Database,DCPS - Office of the General Counsel,Administrative and Other Boundaries,Level 3,Attorney-Client Privilege. Legally privileged - attorney work product.,Database,,2057,Unknown,case management,Daily,False
DCPS,District of Columbia Public Schools,Student and Parent Contact Information,DCPS - Communications,Communication,Level 3,Contains personally identifiable student and parent data that is protected by Family Educational Rights and Privacy Act (FERPA).,Unknown,,2058,No Requests,Education,Daily,False
DCPS,District of Columbia Public Schools,School Performance Data Initiative Data,DCPS - School Performance & Continuous Improvement,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Other,,2059,No Info,Education,Weekly,False
DCPS,District of Columbia Public Schools,Specialized Education Data (SPED),DCPS - Information Officer,Education,Level 3,Contains Personal Health Information (PHI) with Individualized Education Program (IEP) information along with disability covered under Health Insurance Portability and Accountability Act (HIPAA) and Individuals with Disabilities Education Act (IDEA).,Database,,2061,Occasional Requests,Education,Daily,False
DCPS,District of Columbia Public Schools,PreK teacher annual survey,DCPS - Early Childhood Education,Education,Level 3,Sensitive but Unclassified,Database,,2062,Occasional Requests,"education, survey data",Yearly,False
DCPS,District of Columbia Public Schools,DCPS Medicaid-eligible services data,DCPS - School Culture,Health and Human Services,Level 3,Personally Identifiable Information (PII)  student data subject to Family Educational Rights and Privacy Act (FERPA) and Health Insurance Portability and Accountability Act (HIPAA).,Other,,2063,No Info,Education,Unknown,False
DCPS,District of Columbia Public Schools,"Talent Selection, Hiring, and Onboarding (TSHO)",DCPS - Employee Services,Administrative and Other Boundaries,Level 3,The database includes current employee and applicant Personally Identifiable Information (PII).,Database,,2064,No Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,OGC Attorney Fee Data,DCPS - Office of the General Counsel,Financial,Level 3,"Sensitive but unclassified; contains federal tax information, legally privileged",Database,,2065,Unknown,"education, attorney",Daily,False
DCPS,District of Columbia Public Schools,Kindergartners literacy skill data,DCPS - 1st Grade Academy,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Spreadsheet,,2123,Occasional Requests,Education,Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Out of School Time Programs (OSTP) Afterschool Programs Enrollment,DCPS - Content and Curriculum,Administrative and Other Boundaries,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2124,No Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Early Childhood Education (ECE) Grade Level Chair Performance Data,DCPS - Early Childhood Education,Education,Level 3,Employee performance data. Contains Personally Identifiable Information (PII).,Database,,2125,No Requests,"Education, Schools",Quarterly,False
DCPS,District of Columbia Public Schools,SEDS,DCPS - Specialized Instruction,Administrative and Other Boundaries,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2126,No Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Principal's Weekly Behavior Reports,DCPS - School Culture,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Other,,2127,No Info,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,Job applications & hiring notes,DCPS - Early Childhood Education,Administrative and Other Boundaries,Level 3,Employee tracking and classification data for internal agency use. Contains Personally Identifiable Information (PII),Database,,2128,Unknown,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,Compensatory Education Invoice Data,DCPS - Specialized Instruction,Education,Level 3,Contains student-level information subject to Family Educational Rights and Privacy Act (FERPA).,Database,,2129,Frequent Requests,"Education, Schools",Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Student Service Learning Hours Earned,DCPS - College and Career,Administrative and Other Boundaries,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2130,Occasional Requests,"Community Service, Learning Hours",Monthly,False
DCPS,District of Columbia Public Schools,Family Engagement Collaborative Fellowship Home Visit Data,DCPS - Family Engagement,Communication,Level 3,Personally Identifiable Information (PII) regarding notes of homes visits and other data subject to PII and deliberative process.,Database,,2132,No Requests,"Education, Schools",Weekly,False
DCPS,District of Columbia Public Schools,"Comprehensive, Attendance, Administration, and Security System (CAASS)",DCPS - School Operations,Administrative and Other Boundaries,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).  Data housed through OCTO.,Database,,2133,No Info,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,GOLD Assessments Data,DCPS - Early Childhood Education,Education,Level 3,Family Educational Rights and Privacy Act (FERPA) protected data;  sensitive but unclassified; legally privileged,Database,,2134,Occasional Requests,"Education, Schools",Quarterly,False
DCPS,District of Columbia Public Schools,Child Information Data System (CIDS),DCPS - Early Childhood Education,Education,Level 3,Data protected under Family Educational Rights and Privacy Act (FERPA) and Health Insurance Portability and Accountability Act (HIPAA).,Database,,2135,No Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Statewide Longitudinal Education Data (SLED),DCPS - Federal Programs and Grants,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).   Site maintained by OSSE.,Unknown,,2136,Occasional Requests,"Education, Schools",Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Caseload Confirmation,DCPS - IMPACT,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2137,No Info,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,Dual Enrollment Spreadsheet,DCPS - College and Career,Education,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2138,No Info,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,IMPACT - DCPS Effectiveness Assessment System for School-Based Personnel Data,DCPS - IMPACT,Education,Level 3,"Personally Identifiable Information (PII) employee personnel data that is exempt from release due to FOIA privacy exemption, D.C. Code § 2-534(a)(4).",Database,,2140,Frequent Requests,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,IMPACT - The DCPS Effectiveness Assessment System for School-Based Personnel Data,DCPS - IMPACT,Education,Level 3,"This dataset contains personally identifiable information (PII), which is individualized employee personnel data. This information is also exempt from release pursuant to FOIA privacy exemption, D.C. Code § 2-534(a)(2).",Database,,2141,Frequent Requests,"Education, Schools",Real-Time/Near Real-Time,False
DCPS,District of Columbia Public Schools,Compliance Tracker (CAP),DCPS - Compliance and Policy,Education,Level 3,This data set is protected by Family Educational Rights and Privacy Act (FERPA) and Individuals with Disabilities Education Act (IDEA).,Database,,2144,No Requests,"Education, Schools",Weekly,False
DCPS,District of Columbia Public Schools,Story2 College Writing,DCPS - College and Career,Education,Level 3,"Contains Personally Identifiable Information (PII)  about students, subject to FOIA privacy exemption, D.C. Code § 2-534(a)(2).",Database,,2145,Unknown,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,School Partnerships,DCPS - School Partnerships,Administrative and Other Boundaries,Level 3,Contains some information that is subject to deliberative process privilege and exempt from disclosure under D.C. Code § 2-534(a)(4).,Database,,2146,Occasional Requests,"Education, Schools",Monthly,False
DCPS,District of Columbia Public Schools,Preliminary Scholastic Aptitude Test (PSAT) and Scholastic Assessment Test (SAT) Scores,DCPS - College and Career,Education,Level 3,Family Educational Rights and Privacy Act (FERPA) protected student data.,Database,,2147,No Info,"Education, Schools",Unknown,False
DCPS,District of Columbia Public Schools,Food Service Data,DCPS - School Operations,Administrative and Other Boundaries,Level 3,Publication of data would subject district to legal liability and would pose an undue administrative burden.,Database,,2149,No Info,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,Ticket Data,DCPS - Information Officer,Education,Level 3,"Contains data exempt from release through FOIA exemption D.C. Code § 2-534(a)(2). The dataset includes student and parent Personally Identifiable Information (PII). The information is shared with OCTO - related agency, but exempt from public disclosure under D.C. Code § 2-534(a)(4).",Database,,2151,No Requests,"Education, Schools",Daily,False
DCPS,District of Columbia Public Schools,DCPS Staffing & Recruitment,DCPS - Employee Services,Administrative and Other Boundaries,Level 3,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,,2154,No Requests,"Education, schools",Yearly,False
